3604962, 10053739, 6448777
10865727, 16602308, 5736581
17392634, 22792071, 5399437
23599261, 29655479, 6056218
30456922, 36210546, 5753624
37033834, 42813017, 5779183
43649180, 49261107, 5611927
50099729, 55847212, 5747483
56594208, 62369488, 5775280
63210284, 68928667, 5718383
69765238, 75576601, 5811363
76382819, 82116440, 5733621
82932901, 88711161, 5778260
89517873, 95268408, 5750535
96120215, 102046206, 5925991
102863349, 108690577, 5827228
109507222, 115784960, 6277738
116694769, 122474781, 5780012
123304605, 129114617, 5810012
129950710, 135743176, 5792466
136600715, 142671564, 6070849
143463494, 149287791, 5824297
150110031, 155781665, 5671634
156623344, 162383167, 5759823
163234180, 169066984, 5832804
169884388, 175527073, 5642685
176331027, 182028088, 5697061
182813033, 188598533, 5785500
189490505, 195247061, 5756556
196049661, 201769599, 5719938
202629926, 208348170, 5718244
209181718, 214995665, 5813947
215800222, 222264868, 6464646
223102788, 228795322, 5692534
229657791, 235370905, 5713114
236218489, 241924238, 5705749
242803251, 248410081, 5606830
249240351, 254975521, 5735170
255823130, 261563668, 5740538
262344803, 268213238, 5868435
269069561, 274773450, 5703889
275602202, 281314878, 5712676
282156355, 287981385, 5825030
288835825, 294659788, 5823963
295512417, 301217119, 5704702
302046983, 307751070, 5704087
308666099, 314490061, 5823962
315312293, 321138971, 5826678
321988407, 328295378, 6306971
329103521, 334460378, 5356857
335279754, 341144967, 5865213
342003447, 347956333, 5952886
348791772, 354553493, 5761721
355428266, 361173117, 5744851
361976221, 367611285, 5635064
368434352, 374202185, 5767833
375058013, 380830917, 5772904
381624529, 387381886, 5757357
388189873, 394057841, 5867968
394900145, 400593783, 5693638
401466073, 406971281, 5505208
407777704, 413428015, 5650311
414294883, 419950040, 5655157
420817569, 426504149, 5686580
427373173, 433726128, 6352955
434591823, 440007776, 5415953
440826278, 446520073, 5693795
447354512, 453039074, 5684562
453891198, 459612446, 5721248
460483252, 466306337, 5823085
467123248, 472836536, 5713288
473749889, 479770325, 6020436
480611125, 486336035, 5724910
487138165, 492854102, 5715937
493753602, 499520682, 5767080
500396556, 506005439, 5608883
506778453, 512522215, 5743762
513355797, 519416738, 6060941
520306088, 525935426, 5629338
526842695, 532444337, 5601642
533323564, 539795483, 6471919
540663075, 546358699, 5695624
547185211, 552774242, 5589031
553626555, 559348429, 5721874
560153472, 566221478, 6068006
567056787, 572793787, 5737000
573657264, 579479897, 5822633
580319424, 585994907, 5675483
586805951, 592248365, 5442414
593082516, 598727626, 5645110
599558495, 604836365, 5277870
605796002, 611156613, 5360611
612112925, 617902989, 5790064
618735993, 624507086, 5771093
625344943, 631055586, 5710643
631925062, 637587512, 5662450
638506088, 644876951, 6370863
645730865, 651482580, 5751715
652295572, 658246358, 5950786
659134057, 664633828, 5499771
