1530577871889029, 9, CLIENT_TCP_CONNECT_START

not ignored
1530577871889168, 10, CLIENT_TCP_CONNECT_END

not ignored
1530577871889794, 1, CLIENT_HANDSHAKE_START

not ignored
1530577871895486, 7, CLIENT_EXTENDED_FINISHED_START

not ignored
1530577871895486, 8, CLIENT_EXTENDED_FINISHED_END

not ignored
1530577871895502, 2, CLIENT_HANDSHAKE_END

not ignored
1530577871895594, 3, CLIENT_CERT_VALIDATION_START

not ignored
1530577871904846, 4, CLIENT_CERT_VALIDATION_END

not ignored
1530577871905908, 6, CLIENT_FETCH_HTML_END

not ignored
1530577876855290, 9, CLIENT_TCP_CONNECT_START

not ignored
1530577876855398, 10, CLIENT_TCP_CONNECT_END

not ignored
1530577876855895, 1, CLIENT_HANDSHAKE_START

not ignored
1530577876860878, 7, CLIENT_EXTENDED_FINISHED_START

not ignored
1530577876860878, 8, CLIENT_EXTENDED_FINISHED_END

not ignored
1530577876860894, 2, CLIENT_HANDSHAKE_END

not ignored
1530577876860985, 3, CLIENT_CERT_VALIDATION_START

not ignored
1530577876870386, 4, CLIENT_CERT_VALIDATION_END

not ignored
1530577876871171, 6, CLIENT_FETCH_HTML_END

not ignored
1530577881832899, 9, CLIENT_TCP_CONNECT_START

not ignored
1530577881833036, 10, CLIENT_TCP_CONNECT_END

not ignored
1530577881833645, 1, CLIENT_HANDSHAKE_START

not ignored
1530577881839095, 7, CLIENT_EXTENDED_FINISHED_START

not ignored
1530577881839095, 8, CLIENT_EXTENDED_FINISHED_END

not ignored
1530577881839110, 2, CLIENT_HANDSHAKE_END

not ignored
1530577881839203, 3, CLIENT_CERT_VALIDATION_START

not ignored
1530577881847448, 4, CLIENT_CERT_VALIDATION_END

not ignored
1530577881848413, 6, CLIENT_FETCH_HTML_END

not ignored
1530577886827391, 9, CLIENT_TCP_CONNECT_START

not ignored
1530577886827529, 10, CLIENT_TCP_CONNECT_END

not ignored
1530577886828177, 1, CLIENT_HANDSHAKE_START

not ignored
1530577886833952, 7, CLIENT_EXTENDED_FINISHED_START

not ignored
1530577886833952, 8, CLIENT_EXTENDED_FINISHED_END

not ignored
1530577886833972, 2, CLIENT_HANDSHAKE_END

not ignored
1530577886834096, 3, CLIENT_CERT_VALIDATION_START

not ignored
1530577886843249, 4, CLIENT_CERT_VALIDATION_END

not ignored
1530577886844095, 6, CLIENT_FETCH_HTML_END

not ignored
1530577891811304, 9, CLIENT_TCP_CONNECT_START

not ignored
1530577891811432, 10, CLIENT_TCP_CONNECT_END

not ignored
1530577891812046, 1, CLIENT_HANDSHAKE_START

not ignored
1530577891817710, 7, CLIENT_EXTENDED_FINISHED_START

not ignored
1530577891817710, 8, CLIENT_EXTENDED_FINISHED_END

not ignored
1530577891817729, 2, CLIENT_HANDSHAKE_END

not ignored
1530577891817851, 3, CLIENT_CERT_VALIDATION_START

not ignored
1530577891823788, 4, CLIENT_CERT_VALIDATION_END

not ignored
1530577891824561, 6, CLIENT_FETCH_HTML_END

not ignored
1530577896779638, 9, CLIENT_TCP_CONNECT_START

not ignored
1530577896779781, 10, CLIENT_TCP_CONNECT_END

not ignored
