Tag,Mean,Stdev,Max,Min
TCP_CONNECT_TIME,147.58,69.62415959995495,769,101
HANDSHAKE_TIME,151325.14,5052.009524971227,156330,107774
FINISHED_VALIDATION_TIME,76.26,10.33791081408618,173,68
CERT_VALIDATION_TIME,34501.04,2082.156862102373,38904,29117
MODIFICATION_RECORD_TIME,178.32,25.13677783646902,264,125
TOTAL_TIME,204316.71,5080.978961371519,213115,167571
