Tag,Mean,Stdev,Max,Min
TCP_CONNECT_TIME,211.09,51.451354695479104,361,149
HANDSHAKE_TIME,14361.71,7352.045262775522,28378,6716
FINISHED_VALIDATION_TIME,4.88,2.2238704998268224,21,3
CERT_VALIDATION_TIME,4950.13,1699.2659159472364,13933,3935
MODIFICATION_RECORD_TIME,3.21,1.259325216137595,10,2
TOTAL_TIME,20638.5,7990.781608203292,40578,12060
