Tag,Mean,Stdev,Max,Min
TCP_CONNECT_TIME,1890.4,585.7696817009225,6132,1562
HANDSHAKE_TIME,219816.49,18093.036237456112,287713,192782
FINISHED_VALIDATION_TIME,71.49,5.616929766340327,110,63
CERT_VALIDATION_TIME,36878.7,2562.8231288951642,41763,30157
MODIFICATION_RECORD_TIME,172.06,22.27322159006191,240,115
TOTAL_TIME,282020.67,18681.511980594612,352318,251786
